CASE_LBL,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,GP_YEAR,CWPP_YEAR,HMP_YEAR,GTheme1,GTheme2,GTheme3,GTheme4,GThemeTIME,GOVERALL,WFA_SUM,WFA_GP,WFA_CWPP,WFA_HMP,WSVI_SUM,WSVI_GP,WSVI_CWPP,WSVI_HMP,GP_TOTAL_P,CWPP_TOTAL_P,HMP_TOTAL_P,THREEPLANS_TOTAL,FIPS_ID,LU_SUM,CIR_SUM,HS_SUM,CSV_SUM,OS_SUM,SFT_SUM,EJ_SUM,K_9.1,GP_TOTAL,CTX_SUM,CLB_SUM,FR_SUM,SI_SUM,STIM_SUM,ME_SUM,VP_SUM,OA_SUM,CWPP_TOTAL,A_SUM,B_SUM,C_SUM,D_SUM,E_SUM,F_SUM,K_7.1_A,HMP_TOTAL,WFIR_RISKS,MEAN_WHP,ExpectedAnnualHUExposed,ExpectedAnnualRelativeHURisk,WHPContinuousMean,WHPClassMean
KINGS_16,.8596,.807,.807,.8246,.7368,2010, ,2012,1,2,2,2,2,2,.3,.4,0,.51,.2,.32,0,.28,.51,0,.74,.42,31,2,4,3,3,1,15,2.5,1,31.5, , , , , , , , , ,9.98,13,8,5,7,2,1,45.98,64.5243398,84,23.36,847,195,1.1787
LAKE_17,.6316,.8246,.7895,.2807,.2632,2008,2022,2023,3,5,3,1,4,4,.54,.44,.48,.69,.3,.34,0,.56,.57,.47,.84,.63,33,1,2,6,5,1,16,3.5,1,35.5,5,3,4,3,9.9,1,0,3,28.9,9.98,12,10,9,7,0,2,49.98,97.86827871,756,95.59,5309,2398,3.4648
LASSEN_18,.2982,.2982,.2281,.3333,.5614,2000,2022,2019,5,3,4,1,4,4,.54,.55,.36,.7,.4,.53,.11,.56,.75,.42,.94,.7,35,5,2,5,7,1,20,5.5,1,46.5,4,3,4,3,6.9,2,1,2,25.9,9.98,14,14,9,7,2,2,57.98,96.30925867,1004,43.5,2820,1339,3.5013
LOS_ANGELES_19,.8772,.8772,.4561,.9825,.9474,2022, ,2020,1,1,1,3,4,1,.44,.63,0,.68,.45,.8,0,.56,.82,0,.84,.55,37,5,4,6,7,1,20,6,2,51, , , , , , , , , ,9.98,12,12,7,5,2,2,49.98,99.90454979,487,1477.14,77175,2752,2.3042
MADERA_20,.9123,.9123,.9298,.7719,.614,1995,2008,2017,5,3,2,2,2,2,.56,.39,.6,.68,.17,.24,0,.28,.48,.54,.95,.66,39,2,2,2,5,0,16,1.5,1,29.5,4,4,5,5,12.56,2,0,1,33.56,9.98,16,14,8,8,2,1,58.98,99.5545657,931,121.28,7943,958,2.8215
MARIN_21,.0526,0,.1404,.2632,.1754,2007,2020,2018,3,4,3,4,4,4,.7,.59,.88,.63,.33,.7,0,.28,.77,.81,.92,.83,41,4,4,7,5,1,20,5.5,1,47.5,8,4.5,5,5,16.54,6,0,5,50.04,9.98,14,12,10,8,2,1,56.98,91.75946548,186,32.17,1731,216,2.5063
MARIPOSA_22,.5614,.5614,.7719,.1228,.5088,2017,2020,2021,1,3,3,5,5,3,.56,.29,.8,.58,.25,.19,0,.56,.37,.8,.85,.67,43,2,2,4,3,1,7.5,2.5,1,23,7,3.5,6,5,16.05,7,0,5,49.55,9.98,13,11,9,6,2,2,52.98,98.69551384,2902,65.9,4625,1914,3.5359
MENDOCINO_23,.8947,.8947,.8421,.3684,.7895,2009,2020,2020,3,5,3,4,4,4,.65,.53,.7,.71,.36,.54,0,.56,.72,.68,.94,.78,45,3,3,6,5,1,21,4.5,1,44.5,7,4.5,4,5,13.96,5,0,3,42.46,9.98,14,13,9,8,2,2,57.98,97.26376074,280,53.28,2854,854,3.0117
MERCED_24,.9825,.9474,.9474,.9649,.807,2013,2022,2021,3,3,3,5,5,3,.54,.51,.37,.74,.38,.6,0,.56,.64,.47,.98,.7,47,5,4,5,5,1,15,3.5,1,39.5,4,3.5,4,3,7.74,4,0,3,29.24,9.98,16,14,9,8,2,2,60.98,89.11867642,231,34.64,1305,679,2.2486
MODOC_25,.5088,.6316,.5789,.1579,.193,2018,2017,2016,5,5,2,5,5,5,.47,.39,.39,.64,.25,.2,.28,.28,.55,.47,.9,.64,49,4,2,4,4,1,18,1,0,34,4,4,4,3,6.99,4,2,1,28.99,8.98,14,14,8,8,2,1,55.98,89.69137766,577,6.12,377,638,2.7485
