,01_ALAMEDA,02_ALPINE,03_AMADOR,04_BUTTE,05_CALAVERAS,06_COLUSA,07_CONTRA COSTA,08_DEL NORTE,09_EL DORADO,10_FRESNO,11_GLENN,12_HUMBOLDT,13_IMPERIAL,14_INYO,15_KERN,16_KINGS,17_LAKE,18_LASSEN,19_LOS ANGELES,20_MADERA,21_MARIN,22_MARIPOSA,23_MENDOCINO,24_MERCED,25_MODOC,26_MONO,27_MONTEREY,28_NAPA,29_NEVADA,30_ORANGE,31_PLACER,32_PLUMAS,33_RIVERSIDE,34_SACRAMENTO,35_SAN BENITO,36_SAN BERNARDINO,37_SAN DIEGO,38_SAN FRANCISCO,39_SAN JOAQUIN,40_SAN LUIS OBISPO,41_SAN MATEO,42_SANTA BARBARA,43_SANTA CLARA,44_SANTA CRUZ,45_SHASTA,46_SIERRA,47_SISKIYOU,48_SOLANO,49_SONOMA,50_STANISLAUS,51_SUTTER,52_TEHAMA,53_TRINITY,54_TULARE,55_TUOLUMNE,56_VENTURA,57_YOLO,58_YOBA,,,MEAN NA=0,MEAN,percentage,STD,MIN,MAX,,,,,,
GP TOTAL,38.50,34.50,40.00,47.50,43.50,42.00,40.00,24.00,37.50,31.00,39.00,40.50,26.00,22.00,34.00,31.50,35.50,46.50,51.00,29.50,47.50,23.00,44.50,39.50,34.00,41.50,38.50,30.50,42.50,40.00,49.00,35.50,50.00,37.50,35.00,36.50,52.00,33.00,29.00,44.50,26.00,37.00,39.50,29.00,38.00,32.00,15.00,39.00,29.00,25.50,22.50,35.50,40,42.5,40,45.5,39,36.5,,,36.71,,,7.83,15.00,52.00,36.71,36.71,59.20%,7.89,15,52
CWPP TOTAL,49.05,52.38,37.05,34.73,55.05,54.63,45.47,50.71,48.30,42.13,44.47,57.63,0.00,32.90,26.48,0.00,28.90,25.90,0.00,33.56,50.04,49.55,42.46,29.24,28.99,37.64,44.05,39.80,48.80,43.38,39.48,32.48,32.82,36.05,32.15,31.49,34.48,0.00,0.00,39.47,33.07,25.32,52.55,33.07,37.39,45.05,45.30,0.00,58.21,0.00,0.00,32.23,33.32,30.56,33.24,34.73,36.73,49.46,,,34.34,,,16.01,0.00,58.21,34.34,39.84,63.89%,16.15,0,58.21
HMP TOTAL,48.98,46.98,58.98,55.98,52.98,59.98,59.98,57.98,47.98,58.98,48.98,57.98,50.98,53.32,55.98,45.98,51.98,57.98,51.98,58.98,56.98,52.98,57.98,60.98,55.98,52.48,56.98,47.98,55.98,53.48,59.98,57.98,50.98,59.98,55.32,48.98,56.98,50.66,45.48,58.98,58.98,60.98,54.98,53.98,55.98,48.32,61.98,43.65,44.98,59.98,56.98,55.98,44.98,53.98,44.98,58.98,51.98,58.98,,,54.32,,,4.94,43.65,61.98,54.32,54.32,87.62%,4.98,43.65,61.98
3 PLANS TOTAL-PROPORTIONATE,0.73,0.72,0.73,0.74,0.81,0.84,0.78,0.71,0.72,0.71,0.71,0.84,0.41,0.58,0.63,0.42,0.63,0.70,0.55,0.66,0.83,0.67,0.78,0.70,0.64,0.71,0.75,0.64,0.79,0.74,0.80,0.68,0.72,0.72,0.66,0.63,0.77,0.45,0.40,0.77,0.63,0.66,0.79,0.62,0.71,0.67,0.66,0.44,0.71,0.46,0.43,0.67,0.64,0.68,0.64,0.75,0.69,0.78,,,0.67,,,0.11,0.40,0.84,,,,,,
